task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_loss,backbone_cpt,k1,k2,freeze_model_weights,use_truncated_backward
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,8,4,linear,868,7,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_868-128-7x128_mem2_bs32_regular_bptt-7_from_cpt_6-7/run_5,False,,False,,250000.0,1.8299651145935059,,-1,7,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,8,4,linear,868,7,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_868-128-7x128_mem2_bs32_regular_bptt-7_from_cpt_6-7/run_4,False,,False,,250000.0,1.8165360689163208,,-1,7,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,4,1,linear,-1364,5,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_-1364-128-5x128_mem2_bs128_regular_bptt-5_from_cpt_5-5_noise-2_eval_+noise-32/run_4,False,,False,,,2.135833263397217,,-1,5,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,8,1,linear,-372,5,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_-372-128-5x128_mem2_bs128_regular_bptt-5_from_cpt_5-5_noise-2_eval_+noise-16/run_4,False,,False,,,2.0306711196899414,,-1,5,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,1,1,linear,-7316,5,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_-7316-128-5x128_mem2_bs128_regular_bptt-5_from_cpt_5-5_noise-2_eval_+noise-128/run_4,False,,False,,,2.2896652221679688,,-1,5,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,1,linear,1008,4,256,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1008-256-4x256_mem2_bs128_regular_bptt-1_from_cpt_1-4_eval/run_4,False,,False,,,2.3554930686950684,,-1,1,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,1,linear,1008,4,256,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1008-256-4x256_mem2_bs128_regular_bptt-2_from_cpt_2-4_eval/run_4,False,,False,,,2.2903168201446533,,-1,2,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,1,linear,1008,4,256,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1008-256-4x256_mem2_bs128_regular_bptt-3_from_cpt_3-4_eval/run_4,False,,False,,,2.3621861934661865,,-1,3,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,1,linear,1008,4,256,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1008-256-4x256_mem2_bs128_regular_bptt-4_from_cpt_4-4_eval/run_4,False,,False,,,2.4445176124572754,,-1,4,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,1,linear,1020,1,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1020-1024-1x1024_mem2_bs128_regular_bptt-1_from_cpt_1-1_eval/run_1,False,,False,,,1.5885179042816162,,-1,1,False,False
