task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,lr_scheduler,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_loss,backbone_cpt,k2,freeze_model_weights,use_truncated_backward
pile,EleutherAI/pythia-70m-deduped,,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,16,constant_with_warmup,1,2048,0,regular,../runs/pile/EleutherAI/pythia-70m-deduped/lr1e-03_constant_with_warmup_adamw_wd1e-03_--1x2048_mem0_bs256_regular_bptt-1/run_1,False,,False,,0,3.2672278881073,,1,False,False
pile,EleutherAI/pythia-70m-deduped,,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,16,constant_with_warmup,1,2048,0,regular,../runs/pile/EleutherAI/pythia-70m-deduped/lr1e-03_constant_with_warmup_adamw_wd1e-03_--1x2048_mem0_bs256_regular_bptt-1/run_1,False,,False,,14000,3.2672278881073,,1,False,False
pile,EleutherAI/pythia-70m-deduped,,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,256,constant_with_warmup,1,128,0,regular,../runs/pile/EleutherAI/pythia-70m-deduped/lr1e-03_constant_with_warmup_adamw_wd1e-03_--1x128_mem0_bs256_regular_bptt-1/run_1,False,,False,,0,3.8595690727233887,,1,False,False
pile,EleutherAI/pythia-70m-deduped,,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,256,constant_with_warmup,1,128,0,regular,../runs/pile/EleutherAI/pythia-70m-deduped/lr1e-03_constant_with_warmup_adamw_wd1e-03_--1x128_mem0_bs256_regular_bptt-1/run_1,False,,False,,80000,3.8595690727233887,,1,False,False
pile,EleutherAI/pythia-70m-deduped,,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,256,constant_with_warmup,1,128,2,regular,../runs/pile/EleutherAI/pythia-70m-deduped/lr1e-03_constant_with_warmup_adamw_wd1e-03_124-0-1x128_mem2_bs256_regular_bptt-1/run_1,False,,False,,80000,3.9884331226348877,,1,False,False
pile,EleutherAI/pythia-70m-deduped,,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,256,constant_with_warmup,1,128,8,regular,../runs/pile/EleutherAI/pythia-70m-deduped/lr1e-03_constant_with_warmup_adamw_wd1e-03_112-0-1x128_mem8_bs256_regular_bptt-1/run_1,False,,False,,80000,3.9211831092834473,,1,False,False
pile,EleutherAI/pythia-70m-deduped,,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,256,constant_with_warmup,1,128,16,regular,../runs/pile/EleutherAI/pythia-70m-deduped/lr1e-03_constant_with_warmup_adamw_wd1e-03_96-0-1x128_mem16_bs256_regular_bptt-1/run_1,False,,False,,1000,4.021516799926758,,1,False,False
pile,EleutherAI/pythia-70m-deduped,,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,256,constant_with_warmup,1,128,4,regular,../runs/pile/EleutherAI/pythia-70m-deduped/lr1e-03_constant_with_warmup_adamw_wd1e-03_120-0-1x128_mem4_bs256_regular_bptt-1/run_1,False,,False,,0,3.8979403972625732,,1,False,False
pile,EleutherAI/pythia-70m-deduped,,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,16,constant_with_warmup,1,2048,0,regular,../runs/pile/EleutherAI/pythia-70m-deduped/lr1e-04_constant_with_warmup_adamw_wd1e-03_0-2048-1x2048_mem0_bs256_regular_bptt-1/run_1,False,,False,,42000,3.2672278881073,,1,False,False
pile,EleutherAI/pythia-70m-deduped,,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,256,constant_with_warmup,1,128,2,regular,../runs/pile/EleutherAI/pythia-70m-deduped/lr1e-04_constant_with_warmup_adamw_wd1e-03_124-0-1x128_mem2_bs256_regular_bptt-1/run_1,False,,False,,80000,3.863675117492676,,1,False,False
pile,EleutherAI/pythia-70m-deduped,,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,256,constant_with_warmup,1,128,2,regular,../runs/pile/EleutherAI/pythia-70m-deduped/lr1e-04_constant_with_warmup_adamw_wd1e-03_124-0-1x128_mem2_bs256_regular_bptt-1/run_1,False,,False,,80000,3.863675117492676,,1,False,False
pile,EleutherAI/pythia-70m-deduped,,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,256,constant_with_warmup,1,128,8,regular,../runs/pile/EleutherAI/pythia-70m-deduped/lr1e-04_constant_with_warmup_adamw_wd1e-03_112-0-1x128_mem8_bs256_regular_bptt-1/run_1,False,,False,,80000,3.9049036502838135,,1,False,False
pile,EleutherAI/pythia-70m-deduped,,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,256,constant_with_warmup,1,128,8,regular,../runs/pile/EleutherAI/pythia-70m-deduped/lr1e-04_constant_with_warmup_adamw_wd1e-03_112-0-1x128_mem8_bs256_regular_bptt-1/run_1,False,,False,,80000,3.9049036502838135,,1,False,False
pile,EleutherAI/pythia-70m-deduped,,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,256,constant_with_warmup,1,128,0,regular,../runs/pile/EleutherAI/pythia-70m-deduped/lr1e-04_constant_with_warmup_adamw_wd1e-03_128-0-1x128_mem0_bs256_regular_bptt-1/run_1,False,,False,,80000,3.8595690727233887,,1,False,False
